funcionario_id,treinamento_id,data_conclusao,nota,aprovado
F0009,TREIN003,2024-11-17,8.0,True
F0009,TREIN017,2026-02-24,9.5,True
F0009,TREIN005,2024-12-06,9.4,True
F0009,TREIN015,2024-12-05,7.0,True
F0009,TREIN010,2026-06-29,8.6,True
F0009,TREIN009,2025-02-27,9.3,True
F0009,TREIN018,2026-02-19,8.1,True
F0010,TREIN025,2024-11-14,7.3,True
F0010,TREIN018,2026-05-26,8.1,True
F0010,TREIN005,2026-06-25,6.2,False
F0010,TREIN020,2026-04-22,6.7,False
F0010,TREIN010,2026-07-31,6.8,False
F0010,TREIN011,2025-04-22,6.8,False
F0010,TREIN014,2026-07-31,8.3,True
F0011,TREIN022,2026-07-13,7.5,True
F0011,TREIN016,2024-12-20,8.9,True
F0011,TREIN017,2026-08-19,9.7,True
F0011,TREIN020,2026-01-31,8.6,True
F0011,TREIN019,2026-06-12,7.9,True
F0011,TREIN009,2024-11-16,6.2,False
F0012,TREIN024,2026-06-21,9.3,True
F0012,TREIN014,2026-06-14,9.8,True
F0012,TREIN012,2025-03-19,6.4,False
F0012,TREIN002,2026-01-08,8.1,True
F0012,TREIN020,2026-02-19,6.8,False
F0012,TREIN009,2024-10-29,7.0,True
F0012,TREIN017,2024-11-30,9.8,True
F0012,TREIN022,2025-02-07,9.0,True
F0013,TREIN024,2024-09-12,8.7,True
F0013,TREIN004,2026-05-18,6.7,False
F0013,TREIN021,2026-03-01,8.2,True
F0013,TREIN019,2025-04-03,7.4,True
F0013,TREIN012,2026-03-24,8.1,True
F0013,TREIN015,2024-12-26,7.8,True
F0014,TREIN011,2024-11-22,7.7,True
F0014,TREIN018,2025-10-05,8.4,True
F0014,TREIN012,2025-02-02,8.2,True
F0014,TREIN014,2025-08-13,9.1,True
F0014,TREIN025,2025-12-15,7.4,True
F0015,TREIN015,2025-03-20,6.5,False
F0015,TREIN013,2025-10-27,6.0,False
F0015,TREIN001,2026-01-17,6.9,False
F0015,TREIN002,2025-10-14,6.1,False
F0015,TREIN010,2024-09-25,9.3,True
F0015,TREIN020,2025-02-12,8.0,True
F0015,TREIN023,2025-01-25,9.7,True
F0016,TREIN004,2025-05-18,7.4,True
F0016,TREIN002,2026-04-13,7.1,True
F0017,TREIN008,2026-05-30,8.3,True
F0017,TREIN009,2025-01-27,9.7,True
F0017,TREIN010,2026-06-14,8.9,True
F0018,TREIN006,2026-07-25,8.9,True
F0018,TREIN016,2025-01-19,7.5,True
F0018,TREIN023,2026-07-06,9.7,True
F0018,TREIN019,2025-09-24,7.4,True
F0018,TREIN004,2025-06-14,7.7,True
F0018,TREIN020,2026-05-01,9.5,True
F0018,TREIN010,2026-01-12,9.0,True
F0020,TREIN002,2025-01-31,6.6,False
F0020,TREIN010,2025-04-05,8.8,True
F0020,TREIN017,2026-03-29,6.2,False
F0020,TREIN025,2025-07-26,9.9,True
F0020,TREIN011,2024-12-31,8.3,True
F0020,TREIN018,2026-06-01,6.9,False
F0021,TREIN013,2025-05-02,8.3,True
F0021,TREIN005,2026-07-13,8.2,True
F0021,TREIN011,2025-12-07,6.3,False
F0021,TREIN003,2025-04-06,7.7,True
F0022,TREIN025,2025-04-27,8.2,True
F0022,TREIN005,2025-04-20,7.6,True
F0023,TREIN018,2025-03-14,7.0,True
F0023,TREIN020,2026-06-20,7.1,True
F0023,TREIN024,2025-06-18,7.3,True
F0024,TREIN004,2024-10-14,7.7,True
F0025,TREIN012,2026-08-08,9.1,True
F0025,TREIN007,2026-03-12,10.0,True
F0025,TREIN011,2024-12-09,9.3,True
F0025,TREIN020,2025-06-06,8.5,True
F0025,TREIN021,2025-06-07,6.2,False
F0026,TREIN007,2026-03-26,9.0,True
F0026,TREIN022,2026-06-06,6.4,False
F0026,TREIN012,2026-07-08,7.0,True
F0027,TREIN010,2025-09-15,8.8,True
F0027,TREIN001,2026-05-11,7.2,True
F0028,TREIN001,2025-03-15,9.0,True
F0028,TREIN011,2025-02-17,7.9,True
F0028,TREIN007,2026-04-10,8.8,True
F0028,TREIN018,2024-10-17,6.1,False
F0028,TREIN023,2025-01-13,9.6,True
F0028,TREIN021,2025-03-11,6.2,False
F0028,TREIN022,2026-03-11,6.2,False
F0029,TREIN023,2026-07-09,7.9,True
F0029,TREIN020,2026-08-24,6.3,False
F0029,TREIN009,2024-10-25,7.1,True
F0030,TREIN004,2026-01-08,9.9,True
F0030,TREIN001,2025-03-30,9.9,True
F0030,TREIN010,2026-05-23,9.6,True
F0030,TREIN021,2025-04-23,9.5,True
F0030,TREIN013,2025-03-06,6.4,False
F0031,TREIN017,2024-09-02,6.1,False
F0031,TREIN015,2025-12-22,9.7,True
F0031,TREIN018,2025-10-24,7.3,True
F0032,TREIN024,2024-11-30,7.2,True
F0032,TREIN006,2025-04-06,7.1,True
F0032,TREIN001,2026-06-30,8.5,True
F0032,TREIN012,2025-08-01,9.6,True
F0032,TREIN022,2026-08-02,9.8,True
F0032,TREIN021,2025-11-19,6.9,False
F0033,TREIN013,2025-08-06,8.1,True
F0033,TREIN022,2024-10-07,8.4,True
F0033,TREIN005,2024-11-30,8.7,True
F0033,TREIN003,2025-07-01,7.0,True
F0033,TREIN024,2026-03-29,7.7,True
F0034,TREIN020,2026-04-20,6.8,False
F0034,TREIN011,2026-04-13,8.3,True
F0034,TREIN015,2024-10-01,9.2,True
F0034,TREIN018,2026-04-13,7.2,True
F0035,TREIN005,2025-02-08,8.1,True
F0035,TREIN014,2026-05-03,6.7,False
F0035,TREIN025,2026-04-05,8.9,True
F0035,TREIN021,2025-10-10,9.5,True
F0035,TREIN019,2025-07-05,9.8,True
F0035,TREIN006,2025-10-26,7.8,True
F0035,TREIN011,2024-11-18,9.7,True
F0035,TREIN003,2025-11-25,6.6,False
F0036,TREIN004,2026-08-06,9.0,True
F0036,TREIN005,2024-12-14,8.5,True
F0036,TREIN006,2024-12-20,8.3,True
F0037,TREIN020,2026-08-06,7.4,True
F0037,TREIN008,2024-09-27,9.1,True
F0037,TREIN022,2026-04-17,8.0,True
F0038,TREIN023,2026-04-14,6.7,False
F0038,TREIN021,2026-01-13,6.1,False
F0038,TREIN012,2026-08-17,9.7,True
F0038,TREIN006,2025-07-06,6.9,False
F0038,TREIN013,2024-10-14,10.0,True
F0038,TREIN016,2026-02-04,6.3,False
F0038,TREIN020,2025-06-09,9.5,True
F0039,TREIN023,2024-12-18,8.9,True
F0039,TREIN011,2025-08-08,8.9,True
F0039,TREIN015,2025-07-25,8.4,True
F0039,TREIN008,2025-01-24,8.4,True
F0039,TREIN014,2025-03-13,8.6,True
F0039,TREIN013,2024-09-10,9.1,True
F0039,TREIN002,2025-03-17,6.4,False
F0040,TREIN002,2025-08-01,8.1,True
F0040,TREIN008,2024-11-25,9.9,True
F0040,TREIN017,2026-02-19,7.2,True
F0040,TREIN018,2025-07-21,9.5,True
F0040,TREIN013,2025-11-13,7.8,True
F0040,TREIN025,2025-06-26,7.2,True
F0040,TREIN022,2026-07-08,8.8,True
F0041,TREIN015,2025-05-27,6.4,False
F0041,TREIN021,2025-04-07,6.5,False
F0042,TREIN005,2025-01-05,9.6,True
F0042,TREIN013,2026-02-07,9.5,True
F0042,TREIN014,2026-06-01,7.0,True
F0042,TREIN011,2024-09-23,8.6,True
F0042,TREIN015,2024-09-03,9.2,True
F0042,TREIN001,2026-04-28,6.4,False
F0042,TREIN006,2024-09-08,7.8,True
F0042,TREIN021,2025-08-26,6.3,False
F0043,TREIN024,2025-08-08,6.2,False
F0043,TREIN017,2026-03-11,9.6,True
F0043,TREIN020,2025-01-30,9.5,True
F0043,TREIN006,2026-04-01,6.6,False
F0043,TREIN013,2026-04-06,6.7,False
F0043,TREIN018,2024-09-02,6.2,False
F0044,TREIN010,2025-11-10,8.5,True
F0044,TREIN024,2026-05-04,9.6,True
F0044,TREIN025,2026-02-06,6.0,False
F0044,TREIN015,2025-12-16,6.0,False
F0045,TREIN016,2025-01-07,8.6,True
F0045,TREIN018,2025-05-25,7.6,True
F0045,TREIN001,2026-06-12,8.4,True
F0045,TREIN020,2026-08-26,7.0,True
F0045,TREIN025,2025-02-18,7.1,True
F0045,TREIN008,2024-11-27,8.2,True
F0045,TREIN007,2026-02-01,6.2,False
F0046,TREIN002,2025-09-09,6.1,False
F0046,TREIN021,2026-07-30,8.7,True
F0047,TREIN011,2025-07-02,10.0,True
F0047,TREIN003,2026-03-20,8.7,True
F0047,TREIN002,2024-12-15,8.6,True
F0047,TREIN004,2024-09-15,8.4,True
F0048,TREIN006,2025-08-20,9.6,True
F0048,TREIN015,2026-06-24,9.0,True
F0048,TREIN019,2025-02-15,6.3,False
F0048,TREIN012,2025-05-07,6.5,False
F0048,TREIN002,2024-09-20,9.4,True
F0048,TREIN003,2025-09-29,8.1,True
F0048,TREIN010,2025-03-13,6.8,False
F0048,TREIN011,2026-01-30,8.4,True
F0049,TREIN019,2024-11-26,8.1,True
F0050,TREIN016,2024-09-26,8.4,True
F0051,TREIN014,2025-03-12,8.3,True
F0051,TREIN020,2024-12-02,7.4,True
F0051,TREIN011,2026-04-22,8.5,True
F0051,TREIN009,2025-04-11,8.1,True
F0052,TREIN016,2026-05-03,6.1,False
F0052,TREIN006,2024-11-30,9.2,True
F0052,TREIN020,2026-02-01,9.2,True
F0052,TREIN008,2025-07-04,7.7,True
F0052,TREIN010,2025-09-25,7.4,True
F0052,TREIN007,2024-11-18,6.8,False
F0052,TREIN001,2024-11-15,6.8,False
F0053,TREIN009,2025-02-15,7.3,True
F0053,TREIN003,2026-08-26,6.5,False
F0053,TREIN010,2025-09-25,7.4,True
F0053,TREIN017,2025-01-27,8.5,True
F0055,TREIN007,2025-09-20,9.7,True
F0055,TREIN011,2025-04-29,9.7,True
F0057,TREIN016,2024-11-28,7.8,True
F0057,TREIN005,2025-03-01,9.6,True
F0058,TREIN014,2025-02-10,8.1,True
F0058,TREIN024,2026-01-31,8.3,True
F0058,TREIN002,2025-09-27,9.2,True
F0058,TREIN017,2025-09-04,6.3,False
F0058,TREIN010,2026-04-02,7.1,True
F0058,TREIN019,2026-08-01,7.4,True
F0058,TREIN011,2025-08-13,8.5,True
F0059,TREIN019,2025-07-30,6.7,False
F0059,TREIN020,2026-05-05,9.5,True
F0060,TREIN023,2025-07-05,6.3,False
F0060,TREIN011,2026-01-01,7.5,True
F0060,TREIN002,2025-10-27,6.9,False
F0060,TREIN009,2025-10-27,6.7,False
F0061,TREIN002,2025-04-01,6.1,False
F0061,TREIN025,2025-04-25,9.6,True
F0061,TREIN007,2026-03-28,6.8,False
F0061,TREIN003,2025-04-24,8.9,True
F0061,TREIN015,2025-03-14,7.2,True
F0062,TREIN005,2026-04-19,6.8,False
F0062,TREIN025,2026-07-26,7.8,True
F0062,TREIN004,2025-03-16,6.5,False
F0062,TREIN017,2025-10-18,9.7,True
F0062,TREIN022,2024-09-28,9.4,True
F0063,TREIN011,2025-05-11,9.6,True
F0064,TREIN017,2024-10-27,9.0,True
F0066,TREIN021,2025-11-22,8.1,True
F0066,TREIN007,2025-06-07,8.7,True
F0066,TREIN011,2025-11-26,6.6,False
F0066,TREIN010,2025-11-25,6.5,False
F0067,TREIN017,2026-04-10,9.8,True
F0067,TREIN004,2025-11-15,8.3,True
F0067,TREIN007,2026-03-10,6.3,False
F0067,TREIN018,2024-12-13,9.6,True
F0067,TREIN012,2025-02-25,7.8,True
F0067,TREIN022,2026-04-21,6.1,False
F0067,TREIN011,2024-10-10,6.2,False
F0067,TREIN009,2025-08-05,6.2,False
F0068,TREIN013,2024-12-09,7.4,True
F0068,TREIN006,2025-09-26,9.3,True
F0068,TREIN023,2024-10-15,9.2,True
F0068,TREIN020,2026-06-13,9.9,True
F0068,TREIN019,2025-05-13,8.3,True
F0068,TREIN015,2026-05-29,9.3,True
F0069,TREIN004,2026-01-07,9.8,True
F0069,TREIN015,2026-04-07,9.4,True
F0069,TREIN010,2024-12-09,7.0,True
F0069,TREIN022,2025-08-25,7.6,True
F0069,TREIN021,2024-09-15,9.7,True
F0069,TREIN024,2025-09-28,9.2,True
F0069,TREIN016,2025-10-04,7.8,True
F0071,TREIN016,2026-05-09,7.4,True
F0072,TREIN006,2026-05-19,7.6,True
F0072,TREIN010,2026-05-15,7.3,True
F0072,TREIN012,2024-11-05,6.3,False
F0072,TREIN020,2025-10-27,8.1,True
F0072,TREIN019,2025-07-18,8.4,True
F0072,TREIN005,2025-12-31,8.5,True
F0072,TREIN017,2025-02-17,6.6,False
F0073,TREIN013,2025-01-29,9.1,True
F0073,TREIN003,2025-02-21,8.8,True
F0073,TREIN011,2026-03-08,8.7,True
F0073,TREIN007,2026-06-14,9.0,True
F0073,TREIN019,2024-09-03,8.3,True
F0073,TREIN014,2025-04-21,6.5,False
F0073,TREIN020,2024-12-30,7.9,True
F0074,TREIN004,2025-10-01,8.0,True
F0074,TREIN015,2024-10-25,6.2,False
F0074,TREIN006,2026-01-22,9.3,True
F0074,TREIN010,2025-01-15,9.6,True
F0074,TREIN013,2024-11-19,9.2,True
F0074,TREIN003,2026-04-04,8.6,True
F0074,TREIN025,2025-05-26,8.1,True
F0074,TREIN021,2025-07-29,8.5,True
F0075,TREIN007,2025-06-13,8.9,True
F0075,TREIN025,2025-09-14,10.0,True
F0075,TREIN022,2025-01-13,6.0,False
F0075,TREIN011,2025-03-28,7.6,True
F0075,TREIN010,2026-04-24,9.4,True
F0075,TREIN019,2026-06-30,7.5,True
F0075,TREIN021,2025-02-16,9.9,True
F0077,TREIN012,2024-11-30,7.3,True
F0077,TREIN004,2025-08-06,7.6,True
F0077,TREIN010,2025-06-13,8.2,True
F0077,TREIN001,2024-10-23,6.7,False
F0077,TREIN008,2026-04-12,6.8,False
F0077,TREIN014,2025-08-04,9.4,True
F0077,TREIN019,2025-08-29,9.4,True
F0077,TREIN013,2026-03-28,7.2,True
F0078,TREIN005,2026-06-20,8.6,True
F0078,TREIN001,2026-04-07,8.9,True
F0079,TREIN022,2024-09-19,8.4,True
F0079,TREIN014,2025-06-23,8.5,True
F0079,TREIN005,2025-05-24,8.0,True
F0079,TREIN003,2025-02-13,9.3,True
F0079,TREIN023,2025-08-04,7.4,True
F0079,TREIN024,2026-02-23,7.7,True
F0079,TREIN015,2026-08-25,8.3,True
F0080,TREIN023,2025-07-08,9.7,True
F0080,TREIN017,2025-01-19,7.5,True
F0080,TREIN009,2026-07-25,8.3,True
F0081,TREIN004,2026-04-09,8.9,True
F0081,TREIN019,2025-03-11,9.9,True
F0081,TREIN016,2025-11-19,7.9,True
F0081,TREIN023,2026-06-13,8.1,True
F0081,TREIN003,2024-12-16,6.4,False
F0082,TREIN021,2025-10-17,8.5,True
F0082,TREIN024,2025-09-15,8.1,True
F0082,TREIN022,2026-08-21,7.9,True
F0082,TREIN023,2025-03-26,9.6,True
F0082,TREIN003,2025-01-22,8.9,True
F0082,TREIN018,2025-06-27,7.4,True
F0082,TREIN019,2025-11-04,7.2,True
F0084,TREIN024,2024-11-26,7.9,True
F0084,TREIN019,2026-03-12,8.3,True
F0084,TREIN009,2024-10-29,10.0,True
F0084,TREIN002,2024-12-01,6.1,False
F0085,TREIN003,2024-12-10,7.1,True
F0085,TREIN005,2025-12-12,6.1,False
F0085,TREIN017,2026-05-10,8.4,True
F0085,TREIN025,2025-01-04,9.0,True
F0085,TREIN009,2024-10-27,7.8,True
F0085,TREIN021,2026-03-06,7.0,True
F0085,TREIN024,2024-09-14,6.9,False
F0086,TREIN017,2025-09-15,9.9,True
F0086,TREIN002,2026-04-06,8.4,True
F0087,TREIN016,2025-07-06,9.1,True
F0087,TREIN025,2026-01-01,8.6,True
F0088,TREIN007,2025-09-13,6.2,False
F0088,TREIN019,2025-12-05,9.0,True
F0089,TREIN002,2026-03-14,7.9,True
F0090,TREIN010,2025-12-07,6.6,False
F0090,TREIN016,2025-06-13,6.0,False
F0090,TREIN018,2025-05-30,7.5,True
F0090,TREIN008,2025-10-13,9.8,True
F0090,TREIN013,2024-10-02,9.8,True
F0090,TREIN021,2026-05-25,9.7,True
F0090,TREIN024,2024-11-18,7.4,True
F0091,TREIN020,2026-05-24,7.0,True
F0091,TREIN021,2025-01-11,7.6,True
F0091,TREIN009,2024-10-10,9.0,True
F0091,TREIN011,2024-10-13,8.4,True
F0091,TREIN023,2026-02-14,8.1,True
F0091,TREIN024,2024-10-08,8.8,True
F0092,TREIN011,2026-08-22,8.7,True
F0092,TREIN018,2026-06-24,6.0,False
F0093,TREIN017,2026-05-18,8.7,True
F0094,TREIN008,2026-07-29,6.1,False
F0094,TREIN024,2026-05-30,6.2,False
F0094,TREIN010,2025-01-01,8.6,True
F0094,TREIN009,2026-01-22,9.8,True
F0094,TREIN007,2024-11-17,6.5,False
F0095,TREIN003,2024-12-21,6.5,False
F0096,TREIN004,2026-02-25,7.0,True
F0096,TREIN023,2025-05-11,8.6,True
F0097,TREIN021,2025-05-25,9.7,True
F0098,TREIN025,2025-10-05,7.0,True
F0098,TREIN014,2026-06-18,7.1,True
F0098,TREIN023,2026-06-30,7.5,True
F0098,TREIN022,2025-09-26,10.0,True
F0099,TREIN009,2025-04-16,9.9,True
F0099,TREIN006,2026-02-08,8.4,True
F0099,TREIN015,2026-03-03,8.6,True
F0099,TREIN003,2026-05-13,6.6,False
F0100,TREIN007,2026-05-19,6.1,False
F0100,TREIN020,2026-06-21,8.3,True
F0100,TREIN021,2025-12-19,9.1,True
F0100,TREIN004,2026-08-13,9.6,True
F0100,TREIN015,2026-04-02,8.6,True
F0100,TREIN009,2026-09-01,9.7,True
F0101,TREIN009,2026-08-29,8.1,True
F0101,TREIN005,2025-04-17,7.9,True
F0101,TREIN023,2025-07-15,9.4,True
F0101,TREIN011,2026-06-22,8.2,True
F0101,TREIN013,2026-08-29,7.5,True
F0101,TREIN019,2024-09-26,9.3,True
F0102,TREIN004,2026-07-07,8.5,True
F0102,TREIN019,2024-11-08,6.4,False
F0102,TREIN018,2025-03-03,9.4,True
F0102,TREIN012,2025-09-18,6.3,False
F0102,TREIN011,2025-05-19,9.0,True
F0102,TREIN010,2025-11-09,8.6,True
F0102,TREIN013,2026-03-05,8.2,True
F0103,TREIN022,2025-04-21,6.3,False
F0103,TREIN007,2024-11-23,7.8,True
F0103,TREIN010,2026-02-19,6.6,False
F0103,TREIN013,2026-02-16,6.1,False
F0103,TREIN004,2025-01-02,7.0,True
F0103,TREIN012,2025-07-30,6.3,False
F0104,TREIN021,2026-07-06,7.4,True
F0104,TREIN010,2026-07-20,7.6,True
F0104,TREIN016,2026-01-28,9.2,True
F0104,TREIN018,2024-10-18,8.1,True
F0104,TREIN015,2024-10-07,9.5,True
F0104,TREIN001,2025-03-01,6.6,False
F0104,TREIN002,2025-01-16,6.9,False
F0104,TREIN011,2026-06-20,6.1,False
F0105,TREIN016,2026-08-13,7.9,True
F0105,TREIN021,2024-12-07,6.2,False
F0106,TREIN001,2024-11-23,6.2,False
F0106,TREIN006,2025-10-22,9.3,True
F0107,TREIN015,2024-12-15,6.7,False
F0108,TREIN004,2026-05-08,8.0,True
F0109,TREIN003,2025-09-21,9.2,True
F0109,TREIN007,2024-10-07,7.6,True
F0109,TREIN014,2026-05-01,9.9,True
F0110,TREIN005,2026-05-01,7.1,True
F0110,TREIN011,2025-07-03,6.7,False
F0110,TREIN007,2025-08-19,8.2,True
F0110,TREIN002,2025-06-09,7.0,True
F0110,TREIN019,2025-01-14,6.2,False
F0110,TREIN006,2026-05-22,9.2,True
F0110,TREIN024,2024-11-23,8.4,True
F0110,TREIN003,2026-03-24,6.1,False
F0111,TREIN003,2025-07-02,8.8,True
F0111,TREIN001,2025-05-02,8.8,True
F0111,TREIN024,2026-02-02,6.6,False
F0111,TREIN006,2025-11-28,8.1,True
F0111,TREIN025,2025-07-07,7.0,True
F0111,TREIN019,2026-03-07,8.4,True
F0111,TREIN010,2026-07-25,8.4,True
F0112,TREIN020,2025-02-07,6.9,False
F0112,TREIN003,2026-05-04,9.9,True
F0112,TREIN021,2026-05-27,8.5,True
F0112,TREIN010,2025-02-26,8.0,True
F0112,TREIN012,2025-05-14,9.1,True
F0112,TREIN014,2024-10-26,6.8,False
F0112,TREIN001,2026-07-09,6.8,False
F0113,TREIN022,2025-04-10,6.7,False
F0113,TREIN016,2024-10-15,9.7,True
F0115,TREIN010,2024-12-09,9.2,True
F0115,TREIN007,2025-05-25,6.2,False
F0115,TREIN014,2026-07-10,9.7,True
F0115,TREIN009,2026-03-05,6.6,False
F0115,TREIN011,2026-08-03,7.9,True
F0116,TREIN003,2026-01-04,8.9,True
F0117,TREIN014,2026-01-09,9.1,True
F0117,TREIN007,2025-10-03,6.9,False
F0117,TREIN024,2026-01-02,9.0,True
F0117,TREIN022,2026-02-09,7.5,True
F0117,TREIN011,2026-01-19,6.3,False
F0118,TREIN002,2025-08-01,7.5,True
F0118,TREIN014,2025-05-21,8.9,True
F0118,TREIN005,2024-11-23,7.4,True
F0118,TREIN007,2025-11-29,6.8,False
F0118,TREIN020,2026-04-24,6.1,False
F0118,TREIN015,2025-01-27,6.2,False
F0118,TREIN006,2026-04-15,6.4,False
F0119,TREIN015,2024-11-17,9.8,True
F0119,TREIN014,2026-03-11,8.3,True
F0119,TREIN006,2025-02-12,9.4,True
F0119,TREIN011,2026-06-05,7.6,True
F0119,TREIN008,2025-03-16,8.0,True
F0119,TREIN010,2026-01-23,8.4,True
F0119,TREIN023,2025-05-16,7.1,True
F0120,TREIN024,2026-01-17,9.6,True
F0120,TREIN008,2025-01-04,9.8,True
F0120,TREIN025,2025-01-22,9.6,True
F0120,TREIN011,2025-07-01,9.9,True
F0120,TREIN014,2026-07-22,10.0,True
F0120,TREIN019,2025-04-03,6.1,False
F0121,TREIN013,2025-02-07,9.0,True
F0121,TREIN016,2024-09-22,8.9,True
F0121,TREIN023,2026-01-21,6.5,False
F0121,TREIN004,2025-11-03,7.0,True
F0121,TREIN015,2026-06-01,6.1,False
F0121,TREIN024,2024-10-16,7.2,True
F0121,TREIN008,2024-09-11,7.8,True
F0121,TREIN003,2025-01-25,9.0,True
F0123,TREIN015,2024-09-11,8.5,True
F0123,TREIN005,2024-11-28,6.3,False
F0123,TREIN023,2024-09-24,7.3,True
F0123,TREIN013,2026-07-30,7.2,True
F0123,TREIN006,2025-11-29,8.8,True
F0123,TREIN012,2024-12-13,8.2,True
F0123,TREIN025,2026-02-01,9.2,True
F0124,TREIN020,2025-09-23,8.9,True
F0126,TREIN022,2025-08-23,7.5,True
F0126,TREIN012,2024-11-07,8.2,True
F0126,TREIN002,2026-06-25,8.2,True
F0126,TREIN004,2026-02-04,6.6,False
F0126,TREIN013,2025-09-24,7.0,True
F0126,TREIN024,2026-05-08,8.6,True
F0126,TREIN015,2025-01-15,9.5,True
F0126,TREIN023,2024-09-12,6.8,False
F0127,TREIN011,2025-04-04,8.7,True
F0127,TREIN012,2025-11-22,6.2,False
F0127,TREIN009,2025-08-16,7.4,True
F0128,TREIN017,2025-05-27,8.5,True
F0128,TREIN025,2024-10-12,9.8,True
F0128,TREIN004,2026-06-26,6.8,False
F0128,TREIN016,2025-05-21,6.3,False
F0128,TREIN018,2025-07-28,9.6,True
F0128,TREIN021,2025-11-10,9.8,True
F0128,TREIN010,2026-06-15,6.4,False
F0129,TREIN004,2026-03-31,9.5,True
F0129,TREIN023,2025-03-17,9.8,True
F0129,TREIN005,2026-08-09,7.2,True
F0129,TREIN016,2024-10-03,8.2,True
F0130,TREIN016,2025-06-28,7.8,True
F0130,TREIN012,2024-11-10,6.1,False
F0131,TREIN003,2025-03-18,8.6,True
F0131,TREIN001,2025-07-07,8.3,True
F0131,TREIN008,2024-10-30,8.6,True
F0132,TREIN016,2025-02-17,7.8,True
F0132,TREIN019,2025-10-25,8.3,True
F0132,TREIN022,2025-10-23,6.7,False
F0132,TREIN023,2025-12-09,6.9,False
F0132,TREIN017,2025-08-17,9.9,True
F0134,TREIN012,2025-05-23,9.8,True
F0134,TREIN010,2024-12-07,9.7,True
F0135,TREIN010,2026-07-21,10.0,True
F0135,TREIN006,2025-01-21,6.5,False
F0135,TREIN024,2025-12-09,7.5,True
F0135,TREIN022,2026-02-03,8.2,True
F0135,TREIN005,2026-07-28,8.7,True
F0135,TREIN023,2025-09-14,6.6,False
F0135,TREIN008,2025-05-30,8.2,True
F0135,TREIN004,2026-03-19,8.1,True
F0136,TREIN001,2025-07-14,9.7,True
F0137,TREIN015,2026-03-26,6.0,False
F0137,TREIN011,2025-02-19,9.9,True
F0138,TREIN021,2025-01-22,8.7,True
F0138,TREIN023,2025-01-31,8.9,True
F0138,TREIN010,2025-06-06,7.4,True
F0138,TREIN016,2026-05-09,8.9,True
F0138,TREIN025,2026-07-22,6.6,False
F0139,TREIN004,2026-05-30,7.3,True
F0139,TREIN010,2024-12-18,8.6,True
F0139,TREIN001,2025-01-12,8.1,True
F0139,TREIN013,2025-11-21,6.8,False
F0139,TREIN020,2026-06-08,8.2,True
F0139,TREIN008,2025-06-02,8.7,True
F0139,TREIN015,2026-06-04,9.9,True
F0139,TREIN012,2025-07-25,6.8,False
F0140,TREIN020,2025-07-21,6.6,False
F0140,TREIN017,2025-06-21,7.5,True
F0140,TREIN002,2025-08-16,6.0,False
F0140,TREIN022,2025-09-13,7.4,True
F0140,TREIN012,2025-06-02,9.5,True
F0141,TREIN007,2025-06-04,9.0,True
F0142,TREIN015,2025-01-08,8.4,True
F0142,TREIN010,2026-04-07,6.8,False
F0142,TREIN006,2025-05-03,10.0,True
F0142,TREIN014,2025-03-13,9.9,True
F0142,TREIN022,2026-06-26,9.7,True
