funcionario_id,competencia_id,nivel_atual,nivel_obrigatorio,data_avaliacao,fonte_avaliacao,risco_lacuna_critica
F0007,COMP005,5,2,2025-11-05,AvaliacaoGestor,0
F0007,COMP004,1,2,2025-12-25,TesteTecnico,1
F0008,COMP002,5,2,2026-05-04,Certificacao,0
F0008,COMP012,4,2,2025-11-27,Certificacao,0
F0008,COMP008,4,2,2026-05-27,Autoavaliacao,0
F0008,COMP009,2,2,2026-07-17,AvaliacaoGestor,0
F0008,COMP014,1,2,2026-08-07,Certificacao,1
F0008,COMP001,3,2,2025-11-16,AvaliacaoGestor,0
F0009,COMP006,3,2,2026-05-05,Certificacao,0
F0009,COMP013,1,2,2026-04-13,AvaliacaoGestor,1
F0009,COMP001,2,2,2026-06-04,Autoavaliacao,0
F0009,COMP005,1,2,2026-06-26,Autoavaliacao,1
F0009,COMP018,3,2,2025-11-04,Certificacao,0
F0009,COMP007,4,2,2026-08-06,AvaliacaoGestor,0
F0010,COMP002,2,2,2026-01-15,Certificacao,0
F0010,COMP003,1,2,2026-01-13,AvaliacaoGestor,1
F0010,COMP014,1,2,2025-09-29,Certificacao,1
F0010,COMP001,1,2,2026-08-01,TesteTecnico,1
F0010,COMP017,2,2,2025-09-15,Autoavaliacao,0
F0010,COMP004,2,2,2026-07-26,Autoavaliacao,0
F0011,COMP003,4,2,2025-10-17,Certificacao,0
F0011,COMP015,4,2,2026-01-12,TesteTecnico,0
F0011,COMP005,2,2,2025-10-01,AvaliacaoGestor,0
F0011,COMP018,1,2,2026-02-02,Certificacao,1
F0011,COMP020,2,2,2026-02-01,Autoavaliacao,0
F0012,COMP003,2,2,2026-06-15,TesteTecnico,0
F0012,COMP002,2,2,2026-07-16,TesteTecnico,0
F0012,COMP019,4,2,2026-06-27,Autoavaliacao,0
F0012,COMP014,2,2,2025-09-23,Autoavaliacao,0
F0012,COMP011,2,2,2026-08-06,Certificacao,0
F0013,COMP002,1,2,2026-06-14,TesteTecnico,1
F0013,COMP003,2,2,2026-03-06,Certificacao,0
F0013,COMP012,4,2,2025-11-12,AvaliacaoGestor,0
F0013,COMP001,1,2,2025-10-25,Certificacao,1
F0013,COMP010,4,2,2025-09-07,Certificacao,0
F0013,COMP004,2,2,2026-08-29,AvaliacaoGestor,0
F0014,COMP015,1,2,2026-06-21,Autoavaliacao,1
F0014,COMP003,3,2,2026-02-21,TesteTecnico,0
F0014,COMP019,1,2,2026-02-24,Certificacao,1
F0014,COMP018,1,2,2026-08-06,AvaliacaoGestor,1
F0015,COMP001,2,2,2026-04-15,TesteTecnico,0
F0015,COMP012,2,2,2025-10-26,TesteTecnico,0
F0015,COMP020,1,2,2025-12-13,Autoavaliacao,1
F0016,COMP002,5,2,2025-12-06,Certificacao,0
F0016,COMP012,5,2,2025-10-30,Autoavaliacao,0
F0016,COMP008,4,2,2026-05-16,AvaliacaoGestor,0
F0016,COMP009,2,2,2026-03-18,Autoavaliacao,0
F0016,COMP014,5,2,2026-06-04,AvaliacaoGestor,0
F0016,COMP001,3,2,2025-12-19,Certificacao,0
F0016,COMP004,2,2,2026-01-21,Autoavaliacao,0
F0017,COMP003,2,2,2025-09-03,TesteTecnico,0
F0017,COMP017,5,2,2026-08-22,Certificacao,0
F0017,COMP011,5,2,2025-09-13,Certificacao,0
F0017,COMP020,2,2,2026-04-30,TesteTecnico,0
F0018,COMP002,4,2,2026-03-12,AvaliacaoGestor,0
F0018,COMP006,3,2,2026-07-24,Autoavaliacao,0
F0018,COMP013,1,2,2026-03-07,Certificacao,1
F0018,COMP003,1,2,2026-05-04,Autoavaliacao,1
F0018,COMP001,3,2,2026-06-05,AvaliacaoGestor,0
F0018,COMP005,1,2,2026-06-03,TesteTecnico,1
F0018,COMP017,2,2,2025-09-18,Certificacao,0
F0018,COMP004,2,2,2026-06-16,TesteTecnico,0
F0019,COMP003,2,2,2026-04-14,Autoavaliacao,0
F0019,COMP017,2,2,2026-03-27,TesteTecnico,0
F0019,COMP016,1,2,2026-02-25,Certificacao,1
F0019,COMP020,2,2,2025-10-22,TesteTecnico,0
F0020,COMP015,1,2,2026-01-14,AvaliacaoGestor,1
F0020,COMP003,5,2,2025-12-19,AvaliacaoGestor,0
F0020,COMP019,2,2,2026-07-11,Certificacao,0
F0020,COMP018,1,2,2025-12-17,AvaliacaoGestor,1
F0021,COMP002,2,2,2025-12-07,AvaliacaoGestor,0
F0021,COMP006,4,2,2026-02-15,TesteTecnico,0
F0021,COMP008,1,2,2025-10-13,Certificacao,1
F0021,COMP014,2,2,2025-11-20,TesteTecnico,0
F0021,COMP001,3,2,2026-03-15,Autoavaliacao,0
F0021,COMP005,1,2,2026-03-06,Certificacao,1
F0021,COMP004,2,2,2026-06-27,Autoavaliacao,0
F0022,COMP002,2,2,2026-06-28,Autoavaliacao,0
F0022,COMP003,2,2,2025-12-15,Certificacao,0
F0022,COMP013,4,2,2026-06-01,AvaliacaoGestor,0
F0022,COMP001,5,2,2026-05-26,AvaliacaoGestor,0
F0022,COMP018,1,2,2026-07-24,Certificacao,1
F0022,COMP004,1,2,2025-12-16,Autoavaliacao,1
F0023,COMP002,3,2,2025-09-12,AvaliacaoGestor,0
F0023,COMP006,1,2,2026-02-03,Certificacao,1
F0023,COMP013,1,2,2026-01-17,Certificacao,1
F0023,COMP001,2,2,2026-05-05,AvaliacaoGestor,0
F0023,COMP005,5,2,2026-05-25,Certificacao,0
F0023,COMP011,2,2,2026-01-08,Certificacao,0
F0023,COMP004,2,2,2026-06-11,AvaliacaoGestor,0
F0024,COMP002,2,2,2025-11-22,Autoavaliacao,0
F0024,COMP012,1,2,2026-04-09,Autoavaliacao,1
F0024,COMP009,2,2,2026-01-14,AvaliacaoGestor,0
F0024,COMP001,1,2,2026-05-11,TesteTecnico,1
F0024,COMP005,1,2,2026-02-01,Autoavaliacao,1
F0025,COMP002,2,2,2026-02-22,AvaliacaoGestor,0
F0025,COMP003,2,2,2025-10-04,Certificacao,0
F0025,COMP012,1,2,2026-08-13,Certificacao,1
F0025,COMP014,2,2,2025-09-10,AvaliacaoGestor,0
F0025,COMP001,2,2,2026-01-15,Autoavaliacao,0
F0025,COMP017,1,2,2026-04-23,AvaliacaoGestor,1
F0025,COMP004,2,2,2026-07-07,Certificacao,0
F0026,COMP002,3,2,2026-01-30,TesteTecnico,0
F0026,COMP012,5,2,2025-10-31,Autoavaliacao,0
F0026,COMP008,1,2,2026-06-20,Certificacao,1
F0026,COMP009,2,2,2026-05-01,TesteTecnico,0
F0026,COMP001,2,2,2025-12-07,Certificacao,0
F0026,COMP010,2,2,2026-02-14,TesteTecnico,0
F0027,COMP002,2,2,2026-08-24,Certificacao,0
F0027,COMP003,2,2,2026-05-01,Autoavaliacao,0
F0027,COMP013,2,2,2026-06-25,Autoavaliacao,0
F0027,COMP001,4,2,2025-10-07,AvaliacaoGestor,0
F0028,COMP003,1,2,2026-01-10,Autoavaliacao,1
F0028,COMP002,2,2,2026-05-22,Autoavaliacao,0
F0028,COMP006,4,2,2025-12-12,TesteTecnico,0
F0028,COMP019,2,2,2026-04-25,Autoavaliacao,0
F0028,COMP015,1,2,2026-04-08,Certificacao,1
F0028,COMP016,1,2,2025-10-01,Certificacao,1
F0029,COMP001,2,2,2026-01-19,TesteTecnico,0
F0029,COMP012,3,2,2025-12-21,TesteTecnico,0
F0029,COMP004,4,2,2026-07-21,TesteTecnico,0
F0030,COMP003,1,2,2025-11-26,Certificacao,1
F0030,COMP014,2,2,2026-03-18,Certificacao,0
F0030,COMP019,5,2,2026-06-08,TesteTecnico,0
F0030,COMP002,2,2,2026-03-05,TesteTecnico,0
F0031,COMP002,2,2,2026-02-27,AvaliacaoGestor,0
F0031,COMP006,1,2,2025-10-25,TesteTecnico,1
F0031,COMP003,2,2,2026-05-04,Certificacao,0
F0031,COMP001,2,2,2025-10-27,AvaliacaoGestor,0
F0031,COMP005,2,2,2026-02-23,TesteTecnico,0
F0031,COMP004,1,2,2025-12-04,Certificacao,1
F0032,COMP002,2,2,2026-08-19,AvaliacaoGestor,0
F0032,COMP012,2,2,2025-11-18,Autoavaliacao,0
F0032,COMP008,4,2,2025-09-06,TesteTecnico,0
F0032,COMP009,4,2,2025-09-11,TesteTecnico,0
F0032,COMP014,3,2,2026-07-26,TesteTecnico,0
F0032,COMP001,5,2,2026-07-19,Certificacao,0
F0032,COMP011,1,2,2025-11-24,Certificacao,1
F0033,COMP003,1,2,2026-07-01,AvaliacaoGestor,1
F0033,COMP017,1,2,2025-12-23,Autoavaliacao,1
F0033,COMP006,4,2,2026-01-05,AvaliacaoGestor,0
F0033,COMP020,1,2,2026-07-30,Certificacao,1
F0034,COMP002,2,2,2025-11-11,Autoavaliacao,0
F0034,COMP003,4,2,2025-10-08,Autoavaliacao,0
F0034,COMP016,2,2,2026-06-28,AvaliacaoGestor,0
F0034,COMP014,1,2,2026-01-23,Autoavaliacao,1
F0034,COMP001,1,2,2026-03-30,AvaliacaoGestor,1
F0034,COMP017,3,2,2026-03-08,Certificacao,0
F0034,COMP004,2,2,2026-05-24,Certificacao,0
F0035,COMP002,1,2,2025-12-18,AvaliacaoGestor,1
F0035,COMP012,1,2,2026-06-06,Certificacao,1
F0035,COMP008,1,2,2026-08-18,Autoavaliacao,1
F0035,COMP009,4,2,2025-10-03,AvaliacaoGestor,0
F0035,COMP014,2,2,2025-10-20,Autoavaliacao,0
F0035,COMP001,2,2,2025-10-08,Certificacao,0
F0035,COMP010,2,2,2026-04-02,TesteTecnico,0
F0036,COMP002,5,2,2025-12-28,TesteTecnico,0
F0036,COMP001,3,2,2026-03-25,Certificacao,0
F0036,COMP012,2,2,2026-02-09,AvaliacaoGestor,0
F0037,COMP002,3,2,2026-01-06,Autoavaliacao,0
F0037,COMP003,3,2,2026-06-21,Autoavaliacao,0
F0037,COMP001,5,2,2025-10-21,TesteTecnico,0
F0037,COMP018,3,2,2026-03-18,Certificacao,0
F0037,COMP017,3,2,2025-12-20,TesteTecnico,0
F0037,COMP004,2,2,2025-12-21,Autoavaliacao,0
F0038,COMP006,1,2,2026-05-14,Certificacao,1
F0038,COMP013,4,2,2025-12-22,TesteTecnico,0
F0038,COMP001,2,2,2026-07-08,TesteTecnico,0
F0038,COMP005,4,2,2026-02-26,TesteTecnico,0
F0038,COMP007,5,2,2026-08-06,AvaliacaoGestor,0
F0039,COMP015,5,2,2025-11-24,Certificacao,0
F0039,COMP003,1,2,2026-06-28,Autoavaliacao,1
F0039,COMP010,4,2,2025-11-20,Certificacao,0
F0039,COMP018,1,2,2025-10-28,TesteTecnico,1
F0040,COMP002,4,2,2026-01-02,TesteTecnico,0
F0040,COMP006,3,2,2026-03-18,Certificacao,0
F0040,COMP019,4,2,2025-11-02,Certificacao,0
F0040,COMP001,2,2,2025-09-04,Certificacao,0
F0040,COMP005,1,2,2026-02-25,Certificacao,1
F0040,COMP004,2,2,2025-11-07,Certificacao,0
F0040,COMP020,1,2,2025-10-31,TesteTecnico,1
F0041,COMP006,2,2,2025-11-07,TesteTecnico,0
F0041,COMP013,5,2,2026-06-18,AvaliacaoGestor,0
F0041,COMP020,2,2,2026-05-27,Autoavaliacao,0
F0041,COMP019,2,2,2026-06-16,TesteTecnico,0
F0041,COMP001,2,2,2025-12-19,TesteTecnico,0
F0041,COMP005,1,2,2025-09-05,AvaliacaoGestor,1
F0041,COMP007,2,2,2025-09-27,TesteTecnico,0
F0042,COMP003,2,2,2025-11-26,Certificacao,0
F0042,COMP013,2,2,2025-10-24,TesteTecnico,0
F0042,COMP006,3,2,2026-04-12,Certificacao,0
F0042,COMP015,4,2,2026-04-07,AvaliacaoGestor,0
F0042,COMP018,2,2,2026-03-23,TesteTecnico,0
F0042,COMP011,4,2,2026-04-07,Autoavaliacao,0
F0043,COMP002,1,2,2026-04-06,Autoavaliacao,1
F0043,COMP013,2,2,2026-03-08,TesteTecnico,0
F0043,COMP012,2,2,2026-05-15,AvaliacaoGestor,0
F0043,COMP008,2,2,2025-11-18,Certificacao,0
F0043,COMP009,3,2,2026-04-30,Autoavaliacao,0
F0043,COMP019,1,2,2025-10-10,AvaliacaoGestor,1
F0043,COMP014,5,2,2026-03-16,TesteTecnico,0
F0043,COMP001,3,2,2026-08-30,AvaliacaoGestor,0
F0043,COMP018,2,2,2025-12-31,AvaliacaoGestor,0
F0044,COMP002,1,2,2025-10-03,AvaliacaoGestor,1
F0044,COMP010,1,2,2026-06-04,TesteTecnico,1
F0044,COMP016,1,2,2026-08-14,TesteTecnico,1
F0044,COMP015,1,2,2026-04-06,Autoavaliacao,1
F0044,COMP017,2,2,2026-03-14,Certificacao,0
F0044,COMP011,2,2,2026-06-25,TesteTecnico,0
F0045,COMP002,5,2,2025-10-05,Certificacao,0
F0045,COMP003,1,2,2026-03-13,Certificacao,1
F0045,COMP001,1,2,2026-06-04,TesteTecnico,1
F0045,COMP005,2,2,2026-07-19,TesteTecnico,0
F0045,COMP004,1,2,2026-06-22,TesteTecnico,1
F0045,COMP007,3,2,2026-08-29,Certificacao,0
F0046,COMP002,2,2,2026-03-31,Autoavaliacao,0
F0046,COMP003,4,2,2025-09-12,AvaliacaoGestor,0
F0046,COMP008,2,2,2026-01-06,Certificacao,0
F0046,COMP015,4,2,2025-09-13,Autoavaliacao,0
F0046,COMP014,2,2,2026-02-25,AvaliacaoGestor,0
F0046,COMP001,3,2,2025-12-31,AvaliacaoGestor,0
F0046,COMP004,2,2,2026-02-01,TesteTecnico,0
F0047,COMP002,2,2,2026-07-24,Autoavaliacao,0
F0047,COMP006,3,2,2025-11-12,AvaliacaoGestor,0
F0047,COMP003,5,2,2026-07-04,AvaliacaoGestor,0
F0047,COMP008,2,2,2026-07-17,TesteTecnico,0
F0047,COMP014,2,2,2026-06-26,TesteTecnico,0
F0047,COMP001,1,2,2025-11-19,TesteTecnico,1
F0047,COMP005,2,2,2026-08-21,TesteTecnico,0
F0047,COMP004,2,2,2026-05-13,Autoavaliacao,0
F0047,COMP007,4,2,2025-09-08,Autoavaliacao,0
F0048,COMP003,5,2,2026-06-01,AvaliacaoGestor,0
F0048,COMP002,2,2,2026-02-22,TesteTecnico,0
F0048,COMP016,2,2,2026-02-21,Autoavaliacao,0
F0048,COMP017,1,2,2025-10-02,Certificacao,1
F0048,COMP020,5,2,2025-12-05,AvaliacaoGestor,0
F0049,COMP002,2,2,2025-09-22,TesteTecnico,0
F0049,COMP003,1,2,2026-04-28,TesteTecnico,1
F0049,COMP008,4,2,2026-05-28,Autoavaliacao,0
F0049,COMP019,5,2,2025-10-22,Autoavaliacao,0
F0049,COMP014,2,2,2026-07-12,Autoavaliacao,0
F0049,COMP001,1,2,2026-04-29,Autoavaliacao,1
F0049,COMP004,1,2,2025-11-29,AvaliacaoGestor,1
F0050,COMP002,2,2,2026-05-05,Certificacao,0
F0050,COMP012,2,2,2026-05-03,Certificacao,0
F0050,COMP008,1,2,2026-02-02,Certificacao,1
F0050,COMP009,3,2,2025-10-16,TesteTecnico,0
F0050,COMP014,1,2,2026-03-09,TesteTecnico,1
F0050,COMP001,2,2,2025-09-10,TesteTecnico,0
F0050,COMP005,2,2,2026-02-21,AvaliacaoGestor,0
F0051,COMP003,3,2,2026-01-07,Autoavaliacao,0
F0051,COMP008,2,2,2025-11-20,AvaliacaoGestor,0
F0051,COMP019,4,2,2026-05-20,Certificacao,0
F0051,COMP016,2,2,2026-02-24,Autoavaliacao,0
F0051,COMP017,1,2,2026-08-06,Certificacao,1
F0051,COMP020,2,2,2026-07-26,AvaliacaoGestor,0
F0052,COMP012,4,2,2026-03-30,Autoavaliacao,0
F0052,COMP016,3,2,2026-07-03,TesteTecnico,0
F0052,COMP001,1,2,2026-02-10,AvaliacaoGestor,1
F0052,COMP018,2,2,2026-02-19,TesteTecnico,0
F0052,COMP007,2,2,2026-03-28,Certificacao,0
F0053,COMP002,2,2,2026-03-22,AvaliacaoGestor,0
F0053,COMP012,5,2,2026-08-09,AvaliacaoGestor,0
F0053,COMP008,1,2,2026-04-21,TesteTecnico,1
F0053,COMP009,3,2,2026-03-17,AvaliacaoGestor,0
F0053,COMP016,3,2,2025-12-20,Certificacao,0
F0053,COMP014,5,2,2025-10-08,TesteTecnico,0
F0053,COMP001,2,2,2026-06-07,AvaliacaoGestor,0
F0053,COMP017,2,2,2026-05-30,Autoavaliacao,0
F0054,COMP002,2,2,2026-06-23,AvaliacaoGestor,0
F0054,COMP003,3,2,2026-08-28,AvaliacaoGestor,0
F0054,COMP012,2,2,2026-08-02,TesteTecnico,0
F0054,COMP001,1,2,2026-08-29,TesteTecnico,1
F0054,COMP020,4,2,2025-12-01,Certificacao,0
F0055,COMP002,2,2,2026-06-02,Autoavaliacao,0
F0055,COMP003,1,2,2026-05-01,AvaliacaoGestor,1
F0055,COMP017,2,2,2026-03-04,Certificacao,0
F0055,COMP001,1,2,2026-02-22,TesteTecnico,1
F0056,COMP002,1,2,2026-04-01,Autoavaliacao,1
F0056,COMP019,1,2,2026-07-16,TesteTecnico,1
F0056,COMP008,5,2,2026-08-04,Autoavaliacao,0
F0056,COMP016,1,2,2025-12-20,TesteTecnico,1
F0056,COMP015,2,2,2025-11-16,Autoavaliacao,0
F0056,COMP017,1,2,2026-05-07,AvaliacaoGestor,1
F0057,COMP002,2,2,2025-09-16,Certificacao,0
F0057,COMP006,1,2,2026-06-02,Certificacao,1
F0057,COMP019,3,2,2025-11-05,AvaliacaoGestor,0
F0057,COMP009,2,2,2026-07-24,Certificacao,0
F0057,COMP016,3,2,2025-11-15,TesteTecnico,0
F0057,COMP014,2,2,2026-02-17,AvaliacaoGestor,0
F0057,COMP001,1,2,2025-12-19,Certificacao,1
F0057,COMP005,5,2,2026-05-06,Autoavaliacao,0
F0057,COMP004,5,2,2026-03-18,Autoavaliacao,0
F0058,COMP002,5,2,2026-01-23,AvaliacaoGestor,0
F0058,COMP012,2,2,2026-07-20,Certificacao,0
F0058,COMP008,1,2,2026-07-21,Certificacao,1
F0058,COMP009,3,2,2026-02-14,Certificacao,0
F0058,COMP015,2,2,2026-08-30,Certificacao,0
F0058,COMP016,2,2,2026-07-11,AvaliacaoGestor,0
F0058,COMP001,5,2,2026-01-15,TesteTecnico,0
F0059,COMP002,2,2,2025-10-31,Certificacao,0
F0059,COMP003,1,2,2026-04-05,TesteTecnico,1
F0059,COMP001,2,2,2025-11-19,AvaliacaoGestor,0
F0060,COMP002,4,2,2026-03-31,Certificacao,0
F0060,COMP003,1,2,2026-06-08,TesteTecnico,1
F0060,COMP006,4,2,2025-12-28,Autoavaliacao,0
F0060,COMP013,3,2,2025-10-16,TesteTecnico,0
F0060,COMP001,1,2,2026-01-10,Autoavaliacao,1
F0060,COMP017,2,2,2026-02-11,Certificacao,0
F0060,COMP004,2,2,2026-03-17,TesteTecnico,0
F0061,COMP014,3,2,2025-12-30,Certificacao,0
F0061,COMP001,5,2,2026-03-22,Certificacao,0
F0061,COMP005,2,2,2025-11-11,AvaliacaoGestor,0
F0061,COMP012,4,2,2026-02-12,Certificacao,0
F0062,COMP002,3,2,2025-09-17,Autoavaliacao,0
F0062,COMP006,2,2,2025-09-04,AvaliacaoGestor,0
F0062,COMP019,2,2,2025-09-12,Autoavaliacao,0
F0062,COMP014,2,2,2025-09-22,TesteTecnico,0
F0062,COMP001,4,2,2026-05-01,Certificacao,0
F0062,COMP005,2,2,2026-02-20,Autoavaliacao,0
F0062,COMP004,2,2,2025-11-07,TesteTecnico,0
F0063,COMP012,4,2,2025-09-07,Autoavaliacao,0
F0063,COMP014,3,2,2025-09-30,Certificacao,0
F0063,COMP001,2,2,2025-11-17,TesteTecnico,0
F0063,COMP018,2,2,2026-01-24,Autoavaliacao,0
F0063,COMP017,4,2,2026-05-11,AvaliacaoGestor,0
F0064,COMP006,1,2,2026-03-09,Autoavaliacao,1
F0064,COMP013,2,2,2026-02-01,Autoavaliacao,0
F0064,COMP012,3,2,2026-03-07,Certificacao,0
F0064,COMP001,3,2,2025-12-09,TesteTecnico,0
F0064,COMP005,2,2,2026-01-20,TesteTecnico,0
F0064,COMP007,4,2,2026-08-10,Autoavaliacao,0
F0065,COMP003,1,2,2026-04-30,AvaliacaoGestor,1
F0065,COMP017,2,2,2025-11-19,TesteTecnico,0
F0065,COMP011,1,2,2026-02-06,AvaliacaoGestor,1
F0065,COMP020,5,2,2026-02-11,Autoavaliacao,0
F0066,COMP002,2,2,2026-08-30,AvaliacaoGestor,0
F0066,COMP006,2,2,2025-11-10,Autoavaliacao,0
F0066,COMP007,1,2,2026-02-26,Certificacao,1
F0066,COMP015,2,2,2026-04-20,TesteTecnico,0
F0066,COMP001,2,2,2025-10-31,TesteTecnico,0
F0066,COMP005,1,2,2026-03-07,Certificacao,1
F0066,COMP004,1,2,2025-09-22,Certificacao,1
F0066,COMP020,1,2,2025-09-22,AvaliacaoGestor,1
F0067,COMP002,3,2,2026-02-22,AvaliacaoGestor,0
F0067,COMP003,2,2,2025-10-31,AvaliacaoGestor,0
F0067,COMP008,2,2,2026-05-29,TesteTecnico,0
F0067,COMP001,1,2,2025-11-21,AvaliacaoGestor,1
F0067,COMP005,1,2,2026-05-29,Certificacao,1
F0067,COMP004,1,2,2026-03-02,Autoavaliacao,1
F0068,COMP002,2,2,2026-02-04,TesteTecnico,0
F0068,COMP003,2,2,2025-12-25,AvaliacaoGestor,0
F0068,COMP001,2,2,2026-05-12,Certificacao,0
F0068,COMP005,3,2,2025-11-30,Certificacao,0
F0068,COMP007,5,2,2025-11-16,TesteTecnico,0
F0069,COMP002,4,2,2025-11-28,Autoavaliacao,0
F0069,COMP003,2,2,2025-11-26,AvaliacaoGestor,0
F0069,COMP019,1,2,2025-10-02,AvaliacaoGestor,1
F0069,COMP001,2,2,2026-01-14,Certificacao,0
F0069,COMP005,2,2,2026-01-20,Autoavaliacao,0
F0069,COMP017,1,2,2026-05-17,Certificacao,1
F0069,COMP004,2,2,2026-06-09,AvaliacaoGestor,0
F0070,COMP001,2,2,2025-12-03,Certificacao,0
F0070,COMP012,1,2,2026-03-20,Certificacao,1
F0070,COMP007,4,2,2025-12-12,Autoavaliacao,0
F0071,COMP002,2,2,2025-10-01,AvaliacaoGestor,0
F0071,COMP016,1,2,2026-04-27,AvaliacaoGestor,1
F0071,COMP015,1,2,2025-09-20,TesteTecnico,1
F0071,COMP014,2,2,2025-10-15,TesteTecnico,0
F0071,COMP017,2,2,2025-10-12,Autoavaliacao,0
F0072,COMP002,2,2,2026-01-12,TesteTecnico,0
F0072,COMP003,2,2,2026-07-16,TesteTecnico,0
F0072,COMP009,2,2,2026-07-31,TesteTecnico,0
F0072,COMP001,5,2,2026-05-16,TesteTecnico,0
F0072,COMP017,4,2,2026-03-13,AvaliacaoGestor,0
F0072,COMP004,2,2,2026-03-10,Autoavaliacao,0
F0073,COMP002,2,2,2026-08-24,Autoavaliacao,0
F0073,COMP003,1,2,2026-01-19,TesteTecnico,1
F0073,COMP001,5,2,2026-05-21,AvaliacaoGestor,0
F0073,COMP004,2,2,2026-06-12,Certificacao,0
F0074,COMP003,4,2,2025-09-26,AvaliacaoGestor,0
F0074,COMP019,4,2,2025-09-08,AvaliacaoGestor,0
F0074,COMP002,1,2,2025-09-06,Autoavaliacao,1
F0074,COMP012,5,2,2026-07-24,AvaliacaoGestor,0
F0075,COMP002,4,2,2026-07-02,TesteTecnico,0
F0075,COMP012,2,2,2026-07-27,AvaliacaoGestor,0
F0075,COMP008,2,2,2026-07-11,Certificacao,0
F0075,COMP009,4,2,2026-06-23,TesteTecnico,0
F0075,COMP015,1,2,2025-10-08,AvaliacaoGestor,1
F0075,COMP001,2,2,2025-10-24,AvaliacaoGestor,0
F0075,COMP017,1,2,2025-10-15,AvaliacaoGestor,1
F0076,COMP006,1,2,2026-07-12,AvaliacaoGestor,1
F0076,COMP013,2,2,2026-03-06,TesteTecnico,0
F0076,COMP020,3,2,2026-04-28,Certificacao,0
F0076,COMP015,1,2,2025-11-22,Certificacao,1
F0076,COMP001,1,2,2025-09-29,Certificacao,1
F0076,COMP005,3,2,2026-02-13,Certificacao,0
F0076,COMP007,1,2,2025-12-22,TesteTecnico,1
F0077,COMP002,1,2,2025-12-05,Autoavaliacao,1
F0077,COMP003,2,2,2026-06-26,TesteTecnico,0
F0077,COMP008,2,2,2026-02-26,AvaliacaoGestor,0
F0077,COMP001,1,2,2026-08-24,Autoavaliacao,1
F0077,COMP004,3,2,2026-08-12,Autoavaliacao,0
F0078,COMP003,2,2,2026-01-28,TesteTecnico,0
F0078,COMP017,3,2,2026-04-12,Autoavaliacao,0
F0078,COMP010,3,2,2026-06-14,Certificacao,0
F0078,COMP020,2,2,2026-03-27,TesteTecnico,0
F0079,COMP002,5,2,2026-07-04,TesteTecnico,0
F0079,COMP012,1,2,2026-03-27,AvaliacaoGestor,1
F0079,COMP008,3,2,2025-09-07,Autoavaliacao,0
F0079,COMP009,4,2,2025-12-08,Certificacao,0
F0079,COMP014,3,2,2026-04-17,Autoavaliacao,0
F0079,COMP001,1,2,2026-03-14,TesteTecnico,1
F0079,COMP020,2,2,2026-04-20,Autoavaliacao,0
F0080,COMP003,5,2,2025-11-15,AvaliacaoGestor,0
F0080,COMP017,4,2,2026-07-11,Autoavaliacao,0
F0080,COMP015,2,2,2026-08-10,Autoavaliacao,0
